,cWW,cWH,cWS,cHW,cHH,cHS,cSW,cSH,cSS,tWW,tWH,tWS,tHW,tHH,tHS,tSW,tSH,tSS,nbp,REJECT,?
cWW,5820,1,7,0,0,0,2,0,0,3,2,0,1,0,0,0,1,0,0,0,0
cWH,0,163,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
cWS,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cHW,0,0,0,115,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cHH,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cHS,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cSW,1,0,0,0,0,0,64,1,1,0,0,0,0,0,0,0,1,0,0,0,0
cSH,0,1,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0
cSS,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0
tWW,3,0,0,1,0,0,0,0,0,105,0,1,0,0,0,2,0,0,0,0,0
tWH,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,4,0,1,0,0
tWS,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
tHW,0,0,0,1,0,0,0,0,0,0,0,0,144,0,1,0,0,0,0,0,0
tHH,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
tHS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,309,0,0,0,2,0,0
tSW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,0,0,0,0,0
tSH,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,518,0,2,0,0
tSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0
nbp,1056,991,303,92,39,127,378,766,171,143,394,20,146,52,139,133,209,89,13121,0,0
REJECT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,1,0,1,0,0,0,0,2,1,3,0,1,0,0,0,2,3,0,0,0,0
