,cWW,cWH,cWS,cHW,cHH,cHS,cSW,cSH,cSS,tWW,tWH,tWS,tHW,tHH,tHS,tSW,tSH,tSS,nbp,REJECT,?
cWW,5648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0
cWH,0,143,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,0
cWS,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0
cHW,0,0,0,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
cHH,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cHS,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
cSW,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,0,0,5,0,0
cSH,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,60,0,0
cSS,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,61,0,0
tWW,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,15,0,0
tWH,0,0,0,0,0,0,0,0,0,3,357,0,0,1,0,0,0,0,31,0,0
tWS,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,2,0,0
tHW,0,0,0,0,0,0,0,0,0,6,0,0,129,0,0,0,0,0,11,0,0
tHH,0,0,0,0,0,0,0,0,0,0,4,0,0,45,0,0,0,0,7,0,0
tHS,0,0,0,0,0,0,0,0,0,0,0,7,7,0,267,0,0,0,31,0,0
tSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2,0,13,1,0
tSH,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,6,394,0,61,0,0
tSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0
nbp,39,5,2,1,0,0,9,3,0,5,8,0,1,0,1,0,3,3,18288,1,0
REJECT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,1,7,0,0
