,cW.,c.W,cS.,c.S,cH.,c.H,tW.,t.W,tS.,t.S,tH.,t.H,nbp,REJECT,?
cWW,5500,5500,0,0,0,0,0,0,0,0,0,0,337,6,0
cWH,123,0,12,0,0,135,0,1,1,0,0,0,32,0,0
cWS,94,0,0,94,0,0,0,0,0,0,0,0,18,0,0
cHW,0,94,0,2,96,0,0,0,0,0,1,1,22,0,0
cHH,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cHS,0,0,0,11,11,0,0,0,0,0,0,0,16,1,0
cSW,0,45,45,0,0,0,0,0,0,0,0,0,22,1,0
cSH,0,0,173,0,0,173,0,1,1,0,0,0,50,1,0
cSS,0,0,73,73,0,0,0,0,0,0,0,0,19,2,0
tWW,0,0,0,0,0,0,60,60,0,0,0,0,50,0,0
tWH,5,5,0,0,0,0,344,0,0,0,0,344,45,1,0
tWS,0,0,0,0,0,0,28,0,0,28,0,0,12,0,0
tHW,6,6,0,0,0,0,0,118,0,0,118,0,24,0,0
tHH,0,0,0,0,0,0,0,0,0,0,49,49,8,0,0
tHS,0,0,0,0,0,0,0,0,0,278,278,0,37,0,0
tSW,0,0,0,0,0,0,0,98,98,0,0,0,26,0,0
tSH,0,0,0,0,0,0,0,0,418,0,0,418,108,0,0
tSS,0,0,0,0,0,0,0,0,94,94,0,0,6,2,0
nbp,19,19,97,62,5,40,2,3,49,28,10,30,17705,406,0
REJECT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,1,0,2,1,0,2,0,1,6,3,0,2,7,0,0
