,cWW,cWH,cWS,cHW,cHH,cHS,cSW,cSH,cSS,tWW,tWH,tWS,tHW,tHH,tHS,tSW,tSH,tSS,nbp,REJECT,?
cWW,5614,0,2,1,0,0,3,0,0,10,0,0,0,0,0,0,0,0,194,13,0
cWH,4,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0
cWS,0,0,56,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,29,0
cHW,0,0,0,104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0
cHH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cHS,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
cSW,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,0,14,22,0
cSH,0,4,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,76,19,0
cSS,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,64,0
tWW,4,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,23,4,0
tWH,0,0,0,0,0,0,0,0,0,1,360,0,0,0,0,0,4,0,13,14,0
tWS,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,0,2,4,0
tHW,0,0,0,0,0,0,0,0,0,1,0,0,126,0,1,0,0,0,11,7,0
tHH,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,6,9,0
tHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,17,17,0
tSW,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,75,0,0,23,16,0
tSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,434,0,31,58,0
tSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,19,33,0
nbp,24,24,1,2,1,0,0,6,0,6,8,2,3,2,7,1,3,0,16099,2180,0
REJECT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,1,2,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,4,0
