,cWW,cWH,cWS,cHW,cHH,cHS,cSW,cSH,cSS,tWW,tWH,tWS,tHW,tHH,tHS,tSW,tSH,tSS,nbp,REJECT,?
cWW,5812,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,12,0
cWH,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
cWS,4,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cHW,0,0,0,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cHH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cHS,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cSW,4,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cSH,0,0,0,0,0,0,1,221,0,0,0,0,0,0,0,0,0,0,1,0,0
cSS,0,0,15,0,0,0,7,0,47,0,0,0,0,0,0,0,0,0,24,0,0
tWW,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,2,3,0
tWH,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,1,0
tWS,0,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,1,0
tHW,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,2,0
tHH,0,0,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,0
tHS,0,0,0,0,0,0,0,0,0,0,0,1,8,0,285,0,0,0,7,11,0
tSW,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,98,2,0,0,20,0
tSH,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,493,0,5,14,0
tSS,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,0,54,8,10,0
nbp,126,44,20,13,10,10,39,55,17,32,51,11,28,13,14,16,35,2,17698,135,0
REJECT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,1,2,1,0,0,0,0,0,0,1,3,1,1,0,0,2,1,0,1,0,0
