,TP,FP,FN,TN
cWW,5499.0,30.0,338.0,20950.0
cWH,123.0,0.0,43.0,26651.0
cWS,94.0,0.0,20.0,26703.0
cHW,94.0,0.0,23.0,26700.0
cHH,0.0,1.0,2.0,26814.0
cHS,10.0,7.0,15.0,26785.0
cSW,45.0,0.0,23.0,26749.0
cSH,172.0,52.0,51.0,26542.0
cSS,72.0,59.0,21.0,26665.0
tWW,60.0,2.0,52.0,26703.0
tWH,344.0,0.0,48.0,26425.0
tWS,28.0,0.0,11.0,26778.0
tHW,118.0,0.0,28.0,26671.0
tHH,48.0,3.0,8.0,26758.0
tHS,277.0,10.0,35.0,26495.0
tSW,98.0,3.0,24.0,26692.0
tSH,418.0,29.0,106.0,26264.0
tSS,92.0,21.0,8.0,26696.0
nbp,17772.0,816.0,597.0,7632.0
