,TP,FP,FN,TN
cWW,5820.0,1060.0,17.0,19920.0
cWH,163.0,993.0,3.0,25658.0
cWS,114.0,311.0,0.0,26392.0
cHW,115.0,94.0,2.0,26606.0
cHH,1.0,39.0,1.0,26776.0
cHS,25.0,128.0,0.0,26664.0
cSW,64.0,380.0,4.0,26369.0
cSH,222.0,769.0,1.0,25825.0
cSS,93.0,172.0,0.0,26552.0
tWW,105.0,146.0,7.0,26559.0
tWH,387.0,400.0,5.0,26025.0
tWS,38.0,21.0,1.0,26757.0
tHW,144.0,148.0,2.0,26523.0
tHH,56.0,56.0,0.0,26705.0
tHS,309.0,140.0,3.0,26365.0
tSW,121.0,135.0,1.0,26560.0
tSH,518.0,215.0,6.0,26078.0
tSS,99.0,89.0,1.0,26628.0
nbp,13121.0,6.0,5248.0,8442.0
