,TP,FP,FN,TN
cWW,5648.0,39.0,189.0,20941.0
cWH,143.0,5.0,23.0,26646.0
cWS,100.0,2.0,14.0,26701.0
cHW,109.0,1.0,8.0,26699.0
cHH,2.0,0.0,0.0,26815.0
cHS,11.0,1.0,14.0,26791.0
cSW,62.0,9.0,6.0,26740.0
cSH,163.0,8.0,60.0,26586.0
cSS,32.0,1.0,61.0,26723.0
tWW,96.0,14.0,16.0,26691.0
tWH,357.0,75.0,35.0,26350.0
tWS,37.0,7.0,2.0,26771.0
tHW,129.0,8.0,17.0,26663.0
tHH,45.0,1.0,11.0,26760.0
tHS,267.0,1.0,45.0,26504.0
tSW,106.0,8.0,16.0,26687.0
tSH,394.0,5.0,130.0,26288.0
tSS,75.0,3.0,25.0,26714.0
nbp,18288.0,563.0,81.0,7885.0
