,F1,P-R
cWW,0.9777081156391502,0.032360746262484974
cWH,0.8520710059171598,-0.030260577192490867
cWS,0.6292134831460674,0.38377192982456143
cHW,0.9285714285714285,0.08307372793354106
cHH,0.5,0.0
cHS,0.5714285714285715,0.6
cSW,0.5208333333333335,0.5252100840336135
cSH,0.7025495750708216,0.397792342186961
cSS,0.29357798165137616,0.8279569892473118
tWW,0.7330316742081446,0.01990498034076016
tWH,0.9473684210526316,0.059893522626441875
tWS,0.7045454545454547,-0.162218733647305
tHW,0.9130434782608695,0.10621707060063224
tHH,0.8282828282828282,0.2213455149501662
tHS,0.9297658862876254,0.0810023310023309
tSW,0.7317073170731708,0.28886035947066957
tSH,0.8994818652849741,0.15588270931782378
tSS,0.6486486486486487,0.52
nbp,0.9214962365129791,0.09503564765260109
