,F1,P-R
cWW,0.9802152030544949,0.02552190134309007
cWH,0.910828025477707,0.10477043308368605
cWS,0.9259259259259259,0.10319917440660475
cHW,0.960352422907489,0.05928515928515932
cHH,1.0,0.0
cHS,0.5945945945945945,0.4766666666666666
cSW,0.8920863309352517,-0.038525269262634665
cSH,0.8274111675126903,0.2222746702331314
cSS,0.5079365079365079,0.6256109481915934
tWW,0.8648648648648648,0.01558441558441559
tWH,0.8665048543689321,-0.08432539682539686
tWS,0.891566265060241,-0.10780885780885774
tHW,0.911660777385159,0.05804419558044194
tHH,0.8823529411764706,0.1746894409937888
tHS,0.9206896551724137,0.14049942594718723
tSW,0.8983050847457625,0.06097210238711537
tSH,0.8537378114842903,0.23556027473263308
tSS,0.8426966292134831,0.21153846153846156
nbp,0.9826974744760881,-0.025456186477565312
