,F1,P-R
cWW,0.915310214673272,-0.15115731241359254
cWH,0.24659606656580935,-0.840924250635761
cWS,0.4230055658627087,-0.7317647058823529
cHW,0.705521472392638,-0.4326667484562221
cHH,0.047619047619047616,-0.475
cHS,0.28089887640449435,-0.8366013071895425
cSW,0.25,-0.7970323264440912
cSH,0.3657331136738056,-0.7714995497594946
cSS,0.5195530726256983,-0.649056603773585
tWW,0.578512396694215,-0.5191733067729083
tWH,0.6564885496183206,-0.49550411015740475
tWS,0.7755102040816326,-0.3302911777488049
tHW,0.6575342465753424,-0.4931506849315068
tHH,0.6666666666666666,-0.5
tHS,0.8120893561103811,-0.3021886242933014
tSW,0.6402116402116402,-0.5191470286885246
tSH,0.8241845664280032,-0.28186476156754114
tSS,0.6875000000000001,-0.46340425531914897
nbp,0.8331851663703327,0.285241658350712
