,TP,FP,FN,TN
cWW,5614.0,33.0,223.0,20947.0
cWH,144.0,28.0,22.0,26623.0
cWS,56.0,8.0,58.0,26695.0
cHW,104.0,3.0,13.0,26697.0
cHH,1.0,1.0,1.0,26814.0
cHS,10.0,0.0,15.0,26792.0
cSW,25.0,3.0,43.0,26746.0
cSH,124.0,6.0,99.0,26588.0
cSS,16.0,0.0,77.0,26724.0
tWW,81.0,28.0,31.0,26677.0
tWH,360.0,8.0,32.0,26417.0
tWS,31.0,18.0,8.0,26760.0
tHW,126.0,4.0,20.0,26667.0
tHH,41.0,2.0,15.0,26759.0
tHS,278.0,8.0,34.0,26497.0
tSW,75.0,8.0,47.0,26687.0
tSH,434.0,7.0,90.0,26286.0
tSS,48.0,0.0,52.0,26717.0
nbp,16099.0,473.0,2270.0,7975.0
