,F1,P-R
cWW,0.9676227344712299,0.0524805228233719
cWH,0.8512110726643599,0.25903614457831325
cWS,0.9038461538461539,0.17543859649122806
cHW,0.8909952606635071,0.19658119658119655
cHH,0.0,0.0
cHS,0.4761904761904762,0.18823529411764706
cSW,0.7964601769911505,0.3382352941176471
cSH,0.7695749440715884,-0.003443305573350375
cSS,0.6428571428571429,-0.2245752277764097
tWW,0.6896551724137931,0.4320276497695853
tWH,0.9347826086956522,0.12244897959183676
tWS,0.835820895522388,0.28205128205128205
tHW,0.8939393939393939,0.1917808219178082
tHH,0.897196261682243,0.08403361344537819
tHS,0.9248747913188647,0.07733628160457429
tSW,0.8789237668161435,0.1670183411783801
tSH,0.8609680741503605,0.13741311884147067
tSS,0.863849765258216,-0.10584070796460177
nbp,0.9617663771410017,-0.011398881567842079
