,contact type,total BP,rows all nbp,CL,FR,MC,RV,DSSR
0,cWW,26837,0,5531,5649,5688,5948,0
1,cWH,26837,0,123,174,148,209,0
2,cWS,26837,0,95,65,102,146,0
3,cHW,26837,0,94,107,110,132,0
4,cHH,26837,0,1,2,2,13,0
5,cHS,26837,0,17,10,12,33,0
6,cSW,26837,0,45,30,71,111,0
7,cSH,26837,0,226,130,171,277,0
8,cSS,26837,0,131,16,34,64,0
9,tWW,26837,0,62,110,113,146,0
10,tWH,26837,0,344,371,432,457,0
11,tWS,26837,0,28,49,46,54,0
12,tHW,26837,0,118,130,137,182,0
13,tHH,26837,0,51,43,46,67,0
14,tHS,26837,0,287,286,268,299,0
15,tSW,26837,0,104,85,116,140,0
16,tSH,26837,0,449,441,401,532,0
17,tSS,26837,0,116,49,79,56,0
18,nbp,26837,15044,18594,16570,18858,17757,0
