,contact type,total BP,rows all nbp,CL,FR,MC,RV,DSSR
0,cWW,17651,0,5780,5531,5649,5688,5948
1,cWH,17651,0,142,123,174,148,209
2,cWS,17651,0,110,95,65,102,146
3,cHW,17651,0,110,94,107,110,132
4,cHH,17651,0,0,1,2,2,13
5,cHS,17651,0,17,17,10,12,33
6,cSW,17651,0,67,45,30,71,111
7,cSH,17651,0,224,226,130,171,277
8,cSS,17651,0,76,131,16,34,64
9,tWW,17651,0,93,62,110,113,146
10,tWH,17651,0,363,344,371,432,457
11,tWS,17651,0,39,28,49,46,54
12,tHW,17651,0,127,118,130,137,182
13,tHH,17651,0,54,51,43,46,67
14,tHS,17651,0,308,287,286,268,299
15,tSW,17651,0,121,104,85,116,140
16,tSH,17651,0,473,449,441,401,532
17,tSS,17651,0,88,116,49,79,56
18,nbp,17651,5779,9459,9408,7384,9672,8571
